"","ID","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Number","Street","Side","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"11","A-3324986",2,2020-10-31 19:05:00,2020-10-31 22:13:52,36.137016,-120.271774,36.137024,-120.270683,0.061,"SR33 JSO JAYNE 1 1/2 MI. NEG 1125",41000,"Lost Hills Rd","R","Coalinga","Fresno","CA","93210","US","US/Pacific","KNLC",2020-10-31 18:56:00,64,64,37,29.82,8,"N",5,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"12","A-3037687",2,2020-10-19 12:55:00,2020-10-19 22:22:30,25.764384,-80.336293,25.762055,-80.33622,0.161,"Stationary traffic on FL-973 from W Flagler St (87th Ave/Galloway Rd/FL-973) to US-41/Tamiami Trl/SW 8th St (Galloway Rd/SW 87th Ave/FL-973) due to accident.",746,"SW 87th Ave","R","Miami","Miami-Dade","FL","33174","US","US/Eastern","KMIA",2020-10-19 12:53:00,81,81,69,29.95,10,"ENE",12,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"13","A-3443899",2,2020-05-25 12:47:00,2020-05-25 13:46:00,40.91463,-111.89147,40.91463,-111.89147,0,"At US-89/500/Exit 317 - Accident.",NA,"I-15 S","R","Centerville","Davis","UT","84014","US","US/Mountain","KSLC",2020-05-25 12:54:00,68,68,25,25.82,10,"NNW",9,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"14","A-2871088",2,2017-02-21 14:54:45,2017-02-21 20:54:45,44.73054,-93.28313,44.72777,-93.28264,0.193,"At Crystal Lake Rd/Exit 87 - Accident.",NA,"I-35 S","R","Burnsville","Dakota","MN","55306","US","US/Central","KLVN",2017-02-21 14:55:00,60.8,NA,52,29.74,10,"SSW",9.2,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"15","A-3285093",2,2020-11-06 22:28:00,2020-11-07 02:02:30,36.844607,-76.205093,36.836809,-76.156647,2.733,"Slow traffic on I-264 from US-13/Military Hwy/Exit 13-14 (I-264) to VA-225/Independence Blvd/Exit 17 (I-264) due to accident.",NA,"I-264 E","R","Norfolk","Norfolk","VA","23502","US","US/Eastern","KORF",2020-11-06 22:37:00,60,60,93,30.28,2,"S",5,0,"Fog",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"16","A-4151239",2,2017-07-31 15:23:34,2017-07-31 21:23:34,32.972753,-96.922147,32.96384,-96.91719,0.68,"At Sandy Lake Rd/Exit 444 - Accident.",NA,"US-77 S","R","Carrollton","Dallas","TX","75006","US","US/Central","KADS",2017-07-31 15:47:00,91.4,NA,31,30.05,13,"NE",10.4,NA,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"17","A-3275373",2,2020-11-03 18:13:00,2020-11-03 20:04:38,33.887753,-98.517486,33.887478,-98.518372,0.054,"Incident on SPEEDWAY AVE near TAFT BLVD Drive with caution.",2308,"Speedway Ave","R","Wichita Falls","Wichita","TX","76308-1242","US","US/Central","KCWC",2020-11-03 18:16:00,64,64,45,29.08,10,"SE",13,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"18","A-4172328",2,2019-04-17 19:38:00,2019-04-17 23:07:00,41.110531,-111.753013,41.100764,-111.743684,0.831,"At UT-66/Exit 103 - Accident.",NA,"I-84 E","R","Morgan","Morgan","UT","84050","US","US/Mountain","KHIF",2019-04-17 19:58:00,53,53,42,25.35,10,"CALM",0,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"19","A-3006070",2,2020-12-14 14:25:00,2020-12-15 02:10:00,42.896729,-123.243974,42.801669,-123.253054,6.584,"Slow traffic on OR-99 S - Pacific Highway 1 S - I-5 S from Exit 95 (I-5) to Upper Cow Creek Rd/Exit 88 (I-5) due to accident.",NA,"I-5 S","R","Riddle","Douglas","OR","97469","US","US/Pacific","KRBG",2020-12-14 14:53:00,47,47,86,29.76,10,"CALM",0,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"20","A-3681529",2,2020-01-11 13:06:00,2020-01-11 14:00:03,44.96619,-93.27782,44.96619,-93.27782,0,"At I-35W/11th St/Exit 233 - Accident.",NA,"MN-55 E","R","Minneapolis","Hennepin","MN","55403","US","US/Central","KMSP",2020-01-11 12:53:00,12,-3,61,29.29,10,"NE",14,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"21","A-3141726",2,2020-11-11 14:10:00,2020-11-12 02:48:26,25.749454,-80.335813,25.747587,-80.335122,0.136,"Stationary traffic on County Hwy-913 - FL-973 - FL-972 from SW 21st Ter to SW 84th Ave due to accident.",2214,"SW 87th Ave","R","Miami","Miami-Dade","FL","33165-2090","US","US/Eastern","KMIA",2020-11-11 14:20:00,83,83,79,29.83,10,"SSE",15,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"22","A-3329724",2,2020-10-21 00:00:00,2020-10-21 01:58:21,34.019647,-117.485164,34.019107,-117.502584,0.998,"Incident on CA-60 WB near PEDLEY RD Expect delays.",NA,"CA-60 W","R","Jurupa Valley","Riverside","CA","92509","US","US/Pacific","KRAL",2020-10-21 00:53:00,62,62,84,28.98,5,"CALM",0,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"23","A-3140989",2,2020-10-29 12:11:00,2020-10-29 13:56:00,32.394007,-87.087923,32.390732,-87.08497,0.284,"Incident on AL-219 SB near MM 0 Road closed. Take alternate route.",117,"Landline Rd","L","Selma","Dallas","AL","36701-7234","US","US/Central","KMGM",2020-10-29 11:53:00,77,77,100,29.51,10,"WSW",13,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"24","A-3881300",2,2019-09-12 23:26:00,2019-09-13 00:59:38,35.615017,-119.875872,35.615017,-119.875872,0,"At Kecks Rd - Accident.",17170,"Highway 46","L","Lost Hills","Kern","CA","93249-9740","US","US/Pacific","KBFL",2019-09-12 23:54:00,78,78,40,29.45,10,"E",5,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"25","A-3903951",2,2019-02-04 22:49:59,2019-02-05 02:49:59,45.539587,-122.55983,45.53959,-122.55983,0,"At I-205/Exit 8 - Accident.",NA,"I-84 E","R","Portland","Multnomah","OR","97220","US","US/Pacific","KPDX",2019-02-04 22:53:00,30,21.7,82,29.74,2,"NW",9.2,0.01,"Light Snow",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"26","A-3609581",1,2020-03-29 23:56:57,2020-03-30 00:11:57,38.56197,-121.64736,38.56199,-121.64727,0.005,"At Mace Blvd - Accident. Hard shoulder blocked.",NA,"I-80 W","R","Davis","Yolo","CA","95618","US","US/Pacific","KEDU",2020-03-29 23:55:00,46,44,93,30.09,10,"SW",5,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"27","A-3169445",2,2020-11-29 14:40:30,2020-11-29 15:06:30,32.793836,-96.705307,32.793875,-96.699892,0.315,"Slow traffic on I-30 E - R L Thornton Fwy E - US-67 N from Ferguson Rd/Exit 50 (I-30) to Jim Miller Rd/Exit 51 (I-30) due to accident.",NA,"I-30 E","R","Dallas","Dallas","TX","75228","US","US/Central","KDAL",2020-11-29 14:44:00,51,51,66,29.63,10,"NNW",16,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"28","A-2855551",2,2016-06-22 14:50:50,2016-06-22 20:50:50,37.7883,-121.28274,37.7902,-121.29016,0.426,"At Yosemite Ave - Accident.",NA,"CA-120 W","R","Lathrop","San Joaquin","CA","95330","US","US/Pacific","KSCK",2016-06-22 14:55:00,95,NA,19,29.9,10,"NW",11.5,NA,"Clear",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"29","A-4182085",2,2019-05-09 08:08:02,2019-05-09 08:37:25,30.439552,-91.198603,30.439552,-91.198603,0,"At LA-30/Nicholson Dr/Exit 155 - Accident. Right lane blocked.",NA,"I-10 E","R","Port Allen","West Baton Rouge","LA","70767","US","US/Central","KBTR",2019-05-09 07:53:00,79,79,82,29.76,9,"SSE",16,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"30","A-2970478",2,2020-12-24 03:51:00,2020-12-24 05:52:42,33.458508,-112.368646,33.461408,-112.381686,0.778,"Incident on I-10 WB near BULLARD AVE Drive with caution.",NA,"I-10 W","R","Goodyear","Maricopa","AZ","85338","US","US/Mountain","KGYR",2020-12-24 05:47:00,43,38,49,29.34,10,"E",8,NA,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"31","A-3703612",2,2020-01-27 18:36:00,2020-01-27 19:52:55,37.897673,-122.09113,37.897673,-122.09113,0,"At I-680 - Accident.",NA,"CA-24 E","R","Lafayette","Contra Costa","CA","94549","US","US/Pacific","KCCR",2020-01-27 18:53:00,54,54,80,30.32,10,"SSW",5,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"32","A-2807235",2,2016-07-07 15:43:49,2016-07-07 21:43:49,35.229224,-80.941888,35.22972,-80.92604,0.895,"At RC Josh Birmingham Pkwy - Accident.",5404,"Josh Birmingham Pkwy","L","Charlotte","Mecklenburg","NC","28214","US","US/Eastern","KCLT",2016-07-07 15:52:00,87.1,NA,61,29.9,10,"SSW",9.2,NA,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"33","A-4060503",2,2018-04-25 20:14:27,2018-04-26 02:14:27,34.08355,-118.22856,34.09054,-118.23884,0.761,"Between Riverside Dr and Stadium Way/Exit 138 - Accident.",NA,"I-5 N","R","Los Angeles","Los Angeles","CA","90031","US","US/Pacific","KCQT",2018-04-25 19:47:00,60.1,NA,72,30.01,10,"Variable",3.5,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"34","A-3915957",3,2019-02-25 08:25:33,2019-02-25 08:55:04,41.951,-71.39761,41.95078,-71.40722,0.494,"At RI-114/Exit 11 - Accident. Right lane blocked. Left lane blocked.",NA,"I-295 S","R","Cumberland","Providence","RI","02864","US","US/Eastern","KSFZ",2019-02-25 08:14:00,30.2,17.1,80,29.49,5,"West",21.9,0,"Light Snow",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"35","A-2752370",2,2016-12-09 15:18:51,2016-12-09 21:18:51,40.85005,-73.94481,40.85002,-73.94462,0.01,"At RT-9A/Henry Hudson Pky - Accident.",NA,"George Washington Brg","R","New York","New York","NY","10032","US","US/Eastern","KNYC",2016-12-09 14:51:00,39,32.3,32,30.11,10,"NW",10.4,NA,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"36","A-3057493",2,2020-12-23 16:51:30,2020-12-24 00:50:30,39.3899,-76.722368,39.352839,-76.745999,2.855,"Slow traffic on I-695 W - I-695 S from Stevenson Rd/Exit 21 (I-695) to MD-26/Exit 18 (I-695) due to accident.",NA,"I-695 W","R","Pikesville","Baltimore County","MD","21208","US","US/Eastern","KDMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Day","Day","Day"
"37","A-3697951",2,2020-01-22 18:18:00,2020-01-22 18:50:54,33.552374,-117.187109,33.552374,-117.187109,0,"At Murrieta Hot Springs Rd - Accident.",NA,"Corona Fwy N","R","Murrieta","Riverside","CA","92562","US","US/Pacific","KF70",2020-01-22 18:15:00,55,55,82,28.69,10,"S",3,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"38","A-4002457",4,2018-09-23 06:25:27,2018-09-23 06:55:10,38.24013,-78.142021,38.240755,-78.139082,0.165,"Closed at Orange - Road closed due to accident.",13294,"Constitution Hwy","R","Orange","Orange","VA","22960-1923","US","US/Eastern","KOMH",2018-09-23 06:30:00,55.4,NA,100,30.18,7,"NNW",4.6,0.04,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"39","A-3308025",2,2020-12-11 00:36:00,2020-12-11 03:09:10,37.895064,-122.116649,37.894934,-122.117456,0.045,"WB 24 ON CENTRAL LAFAYETTE OFR. UNK IF INJURY",1051,"Sierra Vista Way","L","Lafayette","Contra Costa","CA","94549-3126","US","US/Pacific","KCCR",2020-12-11 00:53:00,48,45,80,30.09,10,"SSW",7,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"40","A-3540592",2,2020-06-09 17:41:00,2020-06-09 19:32:39,36.974025,-121.974599,36.974025,-121.974599,0,"At 41st Ave - Accident.",2864,"Capitola Rd","L","Santa Cruz","Santa Cruz","CA","95062","US","US/Pacific","KWVI",2020-06-09 17:53:00,85,85,28,29.88,10,"W",7,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"41","A-2985225",2,2020-12-01 20:13:25,2020-12-01 21:29:46,39.171377,-76.639326,39.176567,-76.635916,0.402,"Incident on I-97 NB near EXIT 16 Drive with caution.",NA,"Glen Burnie Byp N","R","Glen Burnie","Anne Arundel","MD","21061","US","US/Eastern","KBWI",2020-12-01 19:54:00,40,31,47,29.71,10,"W",18,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"42","A-3368571",2,2020-11-26 01:42:00,2020-11-26 03:02:58,33.151448,-117.337985,33.151592,-117.337651,0.022,"Incident on TAMARACK AVE near JEFFERSON ST Drive with caution.",3898,"Jefferson St","L","Carlsbad","San Diego","CA","92008-3337","US","US/Pacific","KCRQ",2020-11-26 01:53:00,55,55,83,29.68,6,"ENE",6,0,"Haze",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Night","Night","Night","Night"
"43","A-3229559",2,2020-12-24 20:58:26,2020-12-24 23:18:22,34.523676,-81.994956,34.525197,-81.994413,0.11,"Incident on US-221 near FLEMING MILL RD Road closed. Take alternate route.",19030,"Highway 221 N","R","Laurens","Laurens","SC","29360-5300","US","US/Eastern","KLUX",2020-12-24 20:55:00,41,34,100,28.9,10,"SW",13,0.01,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"44","A-3600253",2,2020-03-25 21:19:27,2020-03-25 22:39:25,33.0469,-80.10822,33.0469,-80.10822,0,"At SC-S-8-62/SC-S-8-61/College Park Rd - Accident.",2179,"N Main St","L","Summerville","Berkeley","SC","29486-7800","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Night","Night","Night","Night"
"45","A-4165404",2,2019-04-04 10:34:40,2019-04-04 14:34:40,43.382251,-124.283129,43.382239,-124.283135,0.001,"At Libby Ln - Accident.",1099,"S Empire Blvd","R","Coos Bay","Coos","OR","97420-2789","US","US/Pacific","KOTH",2019-04-04 10:56:00,56,56,87,29.93,10,"VAR",5,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"46","A-3995483",4,2018-09-08 18:15:23,2018-09-08 18:45:19,32.36624,-86.101092,32.366021,-86.099129,0.116,"Closed at US-80/Exit 11 - Road closed due to accident.",NA,"AL-8 W","R","Montgomery","Montgomery","AL","36117","US","US/Central","KMXF",2018-09-08 17:56:00,86.4,NA,70,29.85,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"47","A-4032398",4,2018-06-11 15:51:38,2018-06-11 21:51:38,42.23782,-85.68255,42.229169,-85.722672,2.138,"Closed between 9th St/Exit 72 and CR-652/Exit 66 - Road closed due to accident.",NA,"I-94 W","R","Kalamazoo","Kalamazoo","MI","49009","US","US/Eastern","KAZO",2018-06-11 15:53:00,75.9,NA,64,29.95,10,"East",8.1,NA,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"48","A-3921338",2,2019-01-06 09:00:47,2019-01-06 13:00:47,45.910876,-123.697365,45.907433,-123.689332,0.454,"At East Humbug Creek - Accident.",38748,"NW Sunset Hwy","L","Seaside","Clatsop","OR","97138","US","US/Pacific","KAST",2019-01-06 08:55:00,39.9,33.9,93,29.58,10,"East",9.2,NA,"Scattered Clouds",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"49","A-3434622",2,2020-11-02 23:08:00,2020-11-03 01:57:43,37.975691,-122.318676,37.972881,-122.319626,0.201,"WB 80 JEO HILLTOP. SOLO VEH SPIN OUT",NA,"I-80 W","R","San Pablo","Contra Costa","CA","94806","US","US/Pacific","KCCR",2020-11-02 22:53:00,58,58,53,29.97,10,"CALM",0,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"50","A-2829440",2,2016-12-08 20:04:08,2016-12-09 02:04:08,47.82624,-122.26886,47.83397,-122.26133,0.638,"At I-405/WA-525/Exit 182 - Accident.",NA,"I-5 N","R","Lynnwood","Snohomish","WA","98036","US","US/Pacific","KPAE",2016-12-08 19:53:00,34,29.8,42,29.95,10,"ENE",4.6,NA,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"51","A-3736575",2,2020-02-22 17:36:00,2020-02-22 18:11:17,34.089391,-118.259286,34.089391,-118.259286,0,"At Glendale Fwy - Accident.",1862,"Glendale Blvd","L","Los Angeles","Los Angeles","CA","90026-1762","US","US/Pacific","KCQT",2020-02-22 17:52:00,61,61,62,29.86,10,"W",3,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
